id,city,tier,price
1,Mumbai,Tier 1,35000
2,Delhi,Tier 1,32000
3,Bangalore,Tier 1,30000
4,Chennai,Tier 1,28000
5,Kolkata,Tier 1,25000
6,Hyderabad,Tier 1,27000
7,Pune,Tier 1,26000
8,Ahmedabad,Tier 1,24000
9,Surat,Tier 2,21000
10,Jaipur,Tier 2,20000
11,Kanpur,Tier 2,18000
12,Lucknow,Tier 2,19000
13,Nagpur,Tier 2,17000
14,Indore,Tier 2,19500
15,Bhopal,Tier 2,18500
16,Kochi,Tier 2,22000
17,Patna,Tier 2,16000
18,Coimbatore,Tier 2,20500
19,Varanasi,Tier 3,15000
20,Mysore,Tier 3,16500
21,Amritsar,Tier 2,17500
22,Thrissur,Tier 3,15500
23,Gwalior,Tier 3,14000
24,Jalandhar,Tier 2,16000
25,Udaipur,Tier 3,15000
26,Rajahmundry,Tier 3,12000
27,Madurai,Tier 2,18000
28,Vijayawada,Tier 2,19000
29,Visakhapatnam,Tier 2,20000
30,Bhubaneswar,Tier 2,18000
31,Ranchi,Tier 2,17000
32,Raipur,Tier 2,17500
33,Dehradun,Tier 2,19000
34,Chandigarh,Tier 2,23000
35,Agra,Tier 2,17000
36,Ghaziabad,Tier 2,25000
37,Nashik,Tier 2,19000
38,Jabalpur,Tier 3,15000
39,Bareilly,Tier 3,14500
40,Moradabad,Tier 3,13500
41,Aligarh,Tier 3,13000
42,Meerut,Tier 2,18000
43,Dhanbad,Tier 3,14000
44,Prayagraj (Allahabad),Tier 2,17000
45,Srinagar,Tier 2,20000
46,Guwahati,Tier 2,18500
47,Jammu,Tier 3,16000
48,Ludhiana,Tier 2,21000
49,Amravati,Tier 3,14000
50,Nellore,Tier 3,12500
51,Kakinada,Tier 3,13000
52,Mangaluru (Mangalore),Tier 2,20000
53,Puducherry,Tier 3,16000
54,Salem,Tier 3,15000
55,Tiruchirappalli,Tier 3,15500
56,Kota,Tier 3,16000
57,Cuttack,Tier 3,14000
58,Guntur,Tier 3,14500
59,Warangal,Tier 3,13500
60,Ajmer,Tier 3,14000
61,Bikaner,Tier 3,13000
62,Jodhpur,Tier 2,18000
63,Thiruvananthapuram,Tier 2,21000
64,Kollam,Tier 3,16000
65,Kozhikode,Tier 2,19000
66,Imphal,Tier 3,15000
67,Agartala,Tier 3,14000
68,Kohima,Tier 3,16000
69,Shillong,Tier 3,17000
70,Aizawl,Tier 3,15000
71,Itanagar,Tier 3,14000
72,Gangtok,Tier 3,17000
73,Port Blair,Tier 3,18000
74,Durgapur,Tier 3,15000
75,Asansol,Tier 3,14500
76,Siliguri,Tier 3,16000
77,Bhilai,Tier 3,15000
78,Jamshedpur,Tier 2,18000
79,Bokaro,Tier 3,14000
80,Hubli-Dharwad,Tier 3,16000
81,Belgaum,Tier 3,15000
82,Gulbarga,Tier 3,13500
83,Davanagere,Tier 3,13000
84,Bellary,Tier 3,12500
85,Bijapur,Tier 3,12000
86,Nanded,Tier 3,13000
87,Aurangabad,Tier 3,16000
88,Kolhapur,Tier 3,15500
89,Akola,Tier 3,12500
90,Jalgaon,Tier 3,12000
91,Latur,Tier 3,11500
92,Dhule,Tier 3,11000
93,Ahmednagar,Tier 3,13000
94,Solapur,Tier 3,14000
95,Thane,Tier 1,28000
96,Navi Mumbai,Tier 1,29000
97,Faridabad,Tier 2,24000
98,Gurgaon (Gurugram),Tier 1,30000
99,Rohtak,Tier 3,15000
100,Hisar,Tier 3,14500
101,Panipat,Tier 3,14000
102,Sonipat,Tier 3,13500
103,Bhiwani,Tier 3,12000
104,Ambala,Tier 3,15000
105,Karnal,Tier 3,15500
106,Bathinda,Tier 3,14000
107,Patiala,Tier 3,16000
108,Rampur,Tier 3,12000
109,Shahjahanpur,Tier 3,11500
110,Firozabad,Tier 3,11000
111,Muzaffarnagar,Tier 3,12500
112,Mathura,Tier 3,13000
113,Ayodhya (Faizabad),Tier 3,12000
114,Gorakhpur,Tier 3,15000
115,Jhansi,Tier 3,14000
116,Saharanpur,Tier 3,13500
117,Mirzapur,Tier 3,12000
118,Raebareli,Tier 3,11500
119,Sitapur,Tier 3,10500
120,Bara Banki,Tier 3,10000
121,Gaya,Tier 3,13000
122,Bhagalpur,Tier 3,14000
123,Muzaffarpur,Tier 3,13500
124,Darbhanga,Tier 3,12500
125,Purnia,Tier 3,12000
126,Arrah,Tier 3,11500
127,Chapra,Tier 3,11000
128,Bihar Sharif,Tier 3,10500
129,Katihar,Tier 3,10000
130,Bilaspur,Tier 3,15000
131,Korba,Tier 3,13000
132,Chandrapur,Tier 3,12500
133,Malegaon,Tier 3,11500
134,Ichalkaranji,Tier 3,11000
135,Nagaon,Tier 3,10500
136,Dibrugarh,Tier 3,11000
137,Silchar,Tier 3,10500
138,Dindigul,Tier 3,13000
139,Thanjavur,Tier 3,14000
140,Tiruppur,Tier 3,16000
141,Thoothukudi (Tuticorin),Tier 3,15000
142,Erode,Tier 3,14500
143,Cuddalore,Tier 3,12000
144,Kumbakonam,Tier 3,11500
145,Nagercoil,Tier 3,13500
146,Tiruvannamalai,Tier 3,11000
147,Hosur,Tier 3,16000
148,Karur,Tier 3,11000
149,Pollachi,Tier 3,10500
150,Sivakasi,Tier 3,10000
151,Virudhunagar,Tier 3,10000
152,Namakkal,Tier 3,10500
153,Tiruchengode,Tier 3,10000
154,Kanchipuram,Tier 3,12000
155,Tambaram,Tier 2,20000
156,Avadi,Tier 3,17000
157,Ambattur,Tier 3,17500
158,Anantapur,Tier 3,13000
159,Ongole,Tier 3,12000
160,Kurnool,Tier 3,13500
161,Tirupati,Tier 3,16000
162,Chittoor,Tier 3,11000
163,Kadapa,Tier 3,11500
164,Proddatur,Tier 3,10500
165,Adoni,Tier 3,10000
166,Machilipatnam,Tier 3,10500
167,Eluru,Tier 3,11000
168,Srikakulam,Tier 3,10000
169,Vizianagaram,Tier 3,10500
170,Tenali,Tier 3,10000
171,Bhimavaram,Tier 3,10000
172,Gudivada,Tier 3,9500
173,Nandyal,Tier 3,10000
174,Hindupur,Tier 3,9500
175,Tadipatri,Tier 3,9000
176,Dharmavaram,Tier 3,9000
177,Guntakal,Tier 3,9500
178,Adilabad,Tier 3,10000
179,Nizamabad,Tier 3,12000
180,Khammam,Tier 3,13000
181,Karimnagar,Tier 3,13500
182,Ramagundam,Tier 3,12000
183,Mahabubnagar,Tier 3,10000
184,Suryapet,Tier 3,9500
185,Miryalaguda,Tier 3,9000
186,Wanaparthy,Tier 3,9000
187,Jagtial,Tier 3,9500
188,Siddipet,Tier 3,10000
189,Sangareddy,Tier 3,10500
190,Nalgonda,Tier 3,11000
191,Medak,Tier 3,9000
192,Vikarabad,Tier 3,9000
193,Kothagudem,Tier 3,10000
194,Mancherial,Tier 3,10500
195,Nagarkurnool,Tier 3,9000
196,Gadwal,Tier 3,9000
197,Komaram Bheem Asifabad,Tier 3,9000
198,Jayashankar Bhupalpally,Tier 3,9000
199,Mulugu,Tier 3,9000
200,Bhadradri Kothagudem,Tier 3,10000
201,Rajanna Sircilla,Tier 3,9500
202,Kamareddy,Tier 3,9500
203,Jangaon,Tier 3,9500
204,Peddapalli,Tier 3,10000
205,Mahabubabad,Tier 3,9000
206,Narayanpet,Tier 3,9000
207,Yadadri Bhuvanagiri,Tier 3,10000
208,Hanumakonda,Tier 3,13500
209,Amreli,Tier 3,10000
210,Bhuj,Tier 3,12000
211,Gandhinagar,Tier 2,21000
212,Junagadh,Tier 3,14000
213,Anand,Tier 3,13000
214,Bharuch,Tier 3,14000
215,Godhra,Tier 3,11000
216,Mehsana,Tier 3,13000
217,Patan,Tier 3,12000
